date,product,category,region,quantity,revenue
2023-01-04,Monitor,Eletronics,Asia,3,1245
2024-12-20,Phone,Eletronics,Europe,5,1385
2023-12-28,Phone,Eletronics,Europe,3,2775
2023-07-12,Laptop,Eletronics,South America,3,2364
2024-08-14,Tablet,Eletronics,South America,4,1508
2024-12-18,Headphones,Acessorioes,South America,1,775
2023-11-20,Tablet,Eletronics,North America,2,238
2023-03-29,Laptop,Eletronics,Asia,3,2580
2023-12-29,Laptop,Eletronics,Europe,5,1755
2023-03-10,Laptop,Eletronics,Europe,3,2610
2023-05-08,Monitor,Eletronics,North America,5,4405
2023-08-20,Monitor,Eletronics,Asia,1,1037
2023-08-27,Phone,Eletronics,South America,5,1570
2023-12-25,Laptop,Eletronics,Europe,1,825
2023-08-27,Headphones,Acessorioes,Asia,2,724
2023-11-29,Monitor,Eletronics,North America,1,157
2024-11-18,Laptop,Eletronics,Europe,4,2640
2023-07-07,Laptop,Eletronics,Europe,4,1424
2023-06-11,Laptop,Eletronics,Europe,4,3964
2023-12-03,Headphones,Acessorioes,South America,5,995
2023-01-18,Headphones,Acessorioes,Asia,3,1059
2024-03-01,Monitor,Eletronics,Asia,5,640
2024-03-03,Monitor,Eletronics,Europe,4,3004
2024-04-25,Phone,Eletronics,South America,5,2965
2024-11-27,Phone,Eletronics,Europe,1,544
2023-02-17,Monitor,Eletronics,Asia,1,522
2024-10-03,Tablet,Eletronics,South America,1,266
2024-09-21,Laptop,Eletronics,South America,2,1374
2024-05-05,Tablet,Eletronics,Europe,5,3100
2023-05-10,Headphones,Acessorioes,Asia,4,2432
2024-11-28,Phone,Eletronics,South America,5,1715
2024-09-10,Phone,Eletronics,South America,4,3972
2023-12-23,Phone,Eletronics,Europe,4,1048
2023-04-13,Laptop,Eletronics,Europe,4,2836
2023-02-18,Headphones,Acessorioes,Europe,4,3640
2023-07-12,Phone,Eletronics,Europe,4,3748
2023-10-30,Phone,Eletronics,South America,1,893
2024-08-13,Tablet,Eletronics,Asia,3,2295
2024-06-06,Tablet,Eletronics,Europe,5,1940
2024-08-05,Headphones,Acessorioes,South America,5,4805
2024-11-02,Phone,Eletronics,South America,3,1791
2023-08-15,Headphones,Acessorioes,North America,5,1225
2024-01-31,Tablet,Eletronics,Asia,5,3495
2024-10-15,Phone,Eletronics,Asia,3,2349
2023-07-05,Phone,Eletronics,Europe,3,330
2024-10-02,Phone,Eletronics,Asia,3,2472
2023-12-29,Laptop,Eletronics,North America,3,3123
2023-02-21,Monitor,Eletronics,North America,5,3110
2023-09-22,Headphones,Acessorioes,Asia,2,1432
2023-06-13,Headphones,Acessorioes,Europe,5,5250
2024-12-27,Headphones,Acessorioes,North America,2,882
2024-06-23,Phone,Eletronics,Asia,3,207
2023-05-18,Tablet,Eletronics,North America,1,58
2023-08-08,Phone,Eletronics,South America,4,2200
2023-09-12,Headphones,Acessorioes,Asia,4,3444
2023-06-19,Phone,Eletronics,Europe,4,1004
2023-08-22,Headphones,Acessorioes,North America,5,2500
2023-05-24,Monitor,Eletronics,Asia,5,3360
2023-12-07,Phone,Eletronics,Europe,3,3237
2023-07-07,Phone,Eletronics,North America,3,2319
2024-11-30,Laptop,Eletronics,North America,5,2720
2023-04-27,Phone,Eletronics,Asia,5,3965
2023-03-23,Tablet,Eletronics,Asia,2,1414
2023-12-14,Monitor,Eletronics,Asia,2,2124
2023-12-28,Tablet,Eletronics,North America,2,1080
2023-03-05,Phone,Eletronics,Europe,4,4388
2024-06-19,Headphones,Acessorioes,Asia,3,1359
2023-07-30,Laptop,Eletronics,Europe,2,1192
2024-04-25,Tablet,Eletronics,North America,1,1056
2023-04-21,Phone,Eletronics,North America,5,1630
2024-12-27,Laptop,Eletronics,North America,4,1524
2023-08-30,Headphones,Acessorioes,South America,4,1140
2024-03-27,Monitor,Eletronics,Asia,2,1242
2023-12-28,Headphones,Acessorioes,North America,4,1336
2024-09-21,Tablet,Eletronics,Europe,4,536
2023-04-07,Laptop,Eletronics,Europe,5,3405
2024-07-05,Tablet,Eletronics,Asia,1,1076
2023-05-24,Laptop,Eletronics,Asia,3,3075
2024-12-24,Tablet,Eletronics,Europe,4,4396
2023-02-27,Phone,Eletronics,North America,4,2708
2023-07-08,Tablet,Eletronics,Europe,4,3244
2023-03-11,Monitor,Eletronics,North America,2,2132
2024-08-13,Phone,Eletronics,Europe,2,568
2024-07-29,Tablet,Eletronics,Europe,5,855
2023-05-20,Tablet,Eletronics,North America,1,724
2024-02-03,Monitor,Eletronics,South America,1,744
2023-11-05,Headphones,Acessorioes,Asia,4,476
2024-08-21,Tablet,Eletronics,South America,2,730
2023-11-07,Phone,Eletronics,North America,2,1958
2023-05-03,Monitor,Eletronics,North America,2,1876
2023-10-31,Tablet,Eletronics,Europe,5,4280
2024-02-11,Laptop,Eletronics,South America,1,748
2023-10-18,Laptop,Eletronics,Europe,4,2288
2023-09-01,Phone,Eletronics,Europe,2,2122
2024-09-20,Phone,Eletronics,Asia,2,718
2023-04-02,Tablet,Eletronics,North America,4,2068
2023-05-12,Tablet,Eletronics,Asia,3,2577
2023-10-19,Phone,Eletronics,South America,4,2656
2024-04-20,Monitor,Eletronics,South America,1,796
2024-09-01,Headphones,Acessorioes,South America,4,3540
2023-07-03,Tablet,Eletronics,Europe,2,1182
2023-04-17,Tablet,Eletronics,Europe,2,1610
2024-02-03,Tablet,Eletronics,North America,2,1138
2024-09-13,Phone,Eletronics,Europe,1,1050
2023-04-18,Tablet,Eletronics,North America,5,3140
2024-07-24,Tablet,Eletronics,South America,4,3440
2024-10-08,Phone,Eletronics,South America,1,584
2024-02-03,Tablet,Eletronics,South America,2,974
2024-09-09,Tablet,Eletronics,North America,3,324
2024-09-25,Tablet,Eletronics,Asia,1,840
2023-10-26,Laptop,Eletronics,North America,4,240
2024-03-24,Monitor,Eletronics,Europe,3,1881
2023-07-30,Phone,Eletronics,Asia,3,3123
2024-12-26,Monitor,Eletronics,South America,1,703
2023-05-19,Laptop,Eletronics,North America,3,1101
2023-11-21,Headphones,Acessorioes,Europe,3,2697
2024-10-13,Headphones,Acessorioes,Asia,4,2236
2023-12-11,Phone,Eletronics,Europe,1,302
2024-10-16,Headphones,Acessorioes,Asia,4,1128
2024-08-16,Laptop,Eletronics,Asia,2,1414
2023-08-14,Monitor,Eletronics,North America,5,4840
2024-02-18,Tablet,Eletronics,Europe,4,2008
2023-05-12,Headphones,Acessorioes,North America,2,1688
2023-05-20,Tablet,Eletronics,South America,3,1485
2023-04-26,Tablet,Eletronics,South America,4,3724
2024-02-24,Laptop,Eletronics,South America,5,5265
2024-05-08,Headphones,Acessorioes,North America,3,1089
2023-08-01,Headphones,Acessorioes,South America,1,127
2024-06-01,Monitor,Eletronics,South America,3,2193
2024-04-10,Phone,Eletronics,Asia,1,808
2024-04-18,Monitor,Eletronics,South America,4,1428
2023-04-27,Headphones,Acessorioes,Europe,4,3072
2024-07-06,Laptop,Eletronics,Asia,5,4845
2024-12-25,Monitor,Eletronics,South America,5,565
2023-09-09,Monitor,Eletronics,Asia,5,5120
2023-03-17,Headphones,Acessorioes,Europe,1,1024
2023-01-26,Laptop,Eletronics,South America,4,3880
2024-01-09,Phone,Eletronics,North America,1,867
2024-02-09,Phone,Eletronics,Europe,1,643
2023-12-02,Monitor,Eletronics,South America,2,1018
2024-04-08,Headphones,Acessorioes,Europe,5,3490
2023-08-09,Laptop,Eletronics,Asia,5,3010
2024-05-02,Monitor,Eletronics,Asia,4,2376
2023-07-31,Phone,Eletronics,Asia,4,3304
2024-09-24,Monitor,Eletronics,South America,2,558
2024-11-23,Monitor,Eletronics,South America,3,1644
2023-12-11,Phone,Eletronics,North America,1,444
2024-11-06,Tablet,Eletronics,North America,3,3072
2023-04-09,Headphones,Acessorioes,North America,1,265
2023-02-17,Headphones,Acessorioes,South America,4,3756
2024-07-09,Tablet,Eletronics,South America,2,1674
2023-07-16,Monitor,Eletronics,South America,2,140
2024-11-28,Laptop,Eletronics,South America,2,942
2024-05-27,Monitor,Eletronics,South America,1,830
2023-02-23,Headphones,Acessorioes,North America,4,1480
2023-04-26,Monitor,Eletronics,Europe,2,1276
2023-10-10,Headphones,Acessorioes,Asia,4,2740
2024-06-21,Monitor,Eletronics,Europe,3,1236
2024-10-16,Headphones,Acessorioes,Europe,3,3087
2024-09-27,Headphones,Acessorioes,Europe,2,2164
2023-09-20,Phone,Eletronics,Asia,1,982
2024-08-13,Monitor,Eletronics,Asia,2,378
2023-10-15,Monitor,Eletronics,South America,3,198
2023-08-26,Laptop,Eletronics,Europe,5,2145
2023-03-30,Headphones,Acessorioes,Europe,4,1328
2023-09-23,Phone,Eletronics,Asia,5,1535
2024-09-15,Headphones,Acessorioes,South America,5,1140
2023-02-02,Headphones,Acessorioes,North America,1,342
2024-07-20,Monitor,Eletronics,Asia,1,1074
2024-07-04,Phone,Eletronics,South America,1,530
2024-04-11,Phone,Eletronics,South America,3,2781
2023-07-16,Tablet,Eletronics,Asia,2,2042
2023-01-11,Monitor,Eletronics,Europe,2,972
2024-10-03,Laptop,Eletronics,Europe,5,2400
2023-08-09,Laptop,Eletronics,Asia,2,1588
2024-10-06,Laptop,Eletronics,North America,3,288
2023-12-18,Headphones,Acessorioes,South America,1,254
2023-08-28,Tablet,Eletronics,North America,3,1944
2023-03-14,Headphones,Acessorioes,South America,3,3300
2024-07-09,Tablet,Eletronics,North America,1,97
2023-02-20,Headphones,Acessorioes,Europe,1,312
2023-07-22,Phone,Eletronics,South America,2,904
2024-03-31,Tablet,Eletronics,Europe,3,756
2024-06-22,Tablet,Eletronics,Europe,2,1602
2023-10-31,Monitor,Eletronics,South America,3,1950
2024-08-02,Headphones,Acessorioes,Asia,3,471
2023-01-25,Phone,Eletronics,South America,3,2181
2023-09-15,Monitor,Eletronics,North America,4,396
2023-09-07,Laptop,Eletronics,South America,2,1674
2024-05-21,Phone,Eletronics,Europe,3,1443
2023-06-23,Monitor,Eletronics,Asia,4,2148
2023-04-28,Tablet,Eletronics,Europe,3,702
2024-07-30,Tablet,Eletronics,Europe,3,861
2024-10-13,Phone,Eletronics,North America,3,2901
2023-10-28,Monitor,Eletronics,Asia,3,150
2024-03-23,Monitor,Eletronics,North America,5,5410
2023-06-11,Tablet,Eletronics,South America,1,137
2023-04-23,Tablet,Eletronics,Asia,2,2070
2024-08-29,Tablet,Eletronics,North America,1,710
2023-10-21,Phone,Eletronics,Europe,5,465
2023-10-01,Headphones,Acessorioes,South America,2,1004
2023-10-31,Headphones,Acessorioes,Europe,2,852
2024-05-26,Tablet,Eletronics,South America,3,1179
2024-09-27,Headphones,Acessorioes,Asia,3,1707
2023-04-29,Laptop,Eletronics,South America,4,512
2024-07-27,Monitor,Eletronics,Asia,3,1035
2024-03-01,Laptop,Eletronics,Europe,1,936
2023-03-04,Monitor,Eletronics,Asia,5,2130
2023-01-09,Laptop,Eletronics,South America,5,4260
2024-02-04,Headphones,Acessorioes,North America,2,1558
2023-08-20,Phone,Eletronics,Europe,5,5170
2023-03-16,Monitor,Eletronics,North America,4,3056
2024-02-16,Headphones,Acessorioes,North America,1,303
2023-10-29,Phone,Eletronics,Asia,3,2331
2023-04-17,Monitor,Eletronics,Asia,5,1665
2024-05-25,Headphones,Acessorioes,Asia,3,2667
2024-04-06,Monitor,Eletronics,North America,2,174
2023-07-25,Laptop,Eletronics,Asia,4,3272
2023-01-06,Phone,Eletronics,North America,1,176
2024-04-13,Phone,Eletronics,Asia,5,4170
2023-10-21,Tablet,Eletronics,Europe,5,4420
2023-08-10,Headphones,Acessorioes,Asia,1,732
2023-04-23,Monitor,Eletronics,Europe,3,1368
2024-09-13,Monitor,Eletronics,Europe,2,1022
2023-07-25,Monitor,Eletronics,Asia,5,2805
2023-11-22,Laptop,Eletronics,North America,4,3016
2023-10-24,Monitor,Eletronics,Asia,1,848
2024-12-19,Monitor,Eletronics,Asia,2,1230
2024-11-24,Monitor,Eletronics,North America,1,325
2023-10-06,Monitor,Eletronics,South America,1,97
2024-09-27,Monitor,Eletronics,North America,5,2175
2023-12-13,Laptop,Eletronics,Europe,5,4790
2024-12-08,Phone,Eletronics,Asia,4,4064
2024-02-17,Laptop,Eletronics,North America,3,2337
2024-09-17,Laptop,Eletronics,North America,3,1749
2023-03-10,Laptop,Eletronics,North America,5,2890
2023-06-22,Laptop,Eletronics,Europe,4,1784
2023-03-22,Phone,Eletronics,North America,3,2682
2024-10-22,Tablet,Eletronics,Asia,5,3480
2023-09-30,Laptop,Eletronics,South America,5,4255
2023-07-20,Monitor,Eletronics,Asia,2,1508
2024-03-08,Monitor,Eletronics,South America,3,2514
2023-08-24,Phone,Eletronics,Asia,3,2814
2023-11-29,Laptop,Eletronics,Asia,3,1575
2023-12-07,Monitor,Eletronics,Asia,3,3171
2023-01-27,Monitor,Eletronics,South America,1,486
2024-11-10,Laptop,Eletronics,South America,5,1815
2023-07-05,Laptop,Eletronics,South America,2,1540
2023-07-24,Monitor,Eletronics,North America,4,4064
2023-11-30,Laptop,Eletronics,Europe,3,2565
2023-02-10,Headphones,Acessorioes,Europe,4,2112
2024-02-19,Headphones,Acessorioes,Asia,3,3210
2023-08-20,Phone,Eletronics,South America,5,2820
2024-09-10,Laptop,Eletronics,Asia,1,1032
2024-05-19,Headphones,Acessorioes,South America,2,1580
2023-04-08,Tablet,Eletronics,North America,1,821
2024-01-10,Headphones,Acessorioes,Europe,3,3216
2023-10-19,Phone,Eletronics,North America,3,3045
2023-05-04,Phone,Eletronics,South America,5,3890
2023-01-03,Phone,Eletronics,Asia,1,311
2024-07-18,Tablet,Eletronics,Asia,4,2980
2023-12-05,Tablet,Eletronics,Asia,1,647
2024-10-13,Laptop,Eletronics,North America,4,1460
2023-11-10,Tablet,Eletronics,Europe,2,2150
2023-09-24,Tablet,Eletronics,Europe,2,1584
2024-07-20,Tablet,Eletronics,South America,5,1100
2023-12-17,Phone,Eletronics,Asia,3,723
2023-02-01,Laptop,Eletronics,North America,4,1252
2024-02-15,Monitor,Eletronics,Europe,5,1270
2023-10-04,Laptop,Eletronics,Europe,5,3815
2023-06-13,Headphones,Acessorioes,South America,1,483
2024-06-25,Headphones,Acessorioes,South America,3,2295
2024-10-05,Phone,Eletronics,North America,2,1616
2024-10-26,Tablet,Eletronics,Asia,1,1099
2023-08-24,Headphones,Acessorioes,Europe,2,140
2023-06-23,Tablet,Eletronics,North America,3,3108
2023-10-23,Monitor,Eletronics,Europe,5,2095
2023-12-17,Laptop,Eletronics,North America,2,1166
2023-10-18,Monitor,Eletronics,Europe,2,1982
2024-12-04,Monitor,Eletronics,Asia,3,2286
2024-02-22,Laptop,Eletronics,Europe,1,971
2024-03-10,Tablet,Eletronics,South America,3,1818
2023-04-05,Headphones,Acessorioes,North America,5,2125
2023-11-20,Tablet,Eletronics,Europe,3,3084
2023-07-31,Tablet,Eletronics,Asia,2,620
2024-10-12,Phone,Eletronics,Europe,5,1750
2024-07-13,Headphones,Acessorioes,Asia,2,1306
2024-01-19,Phone,Eletronics,Asia,3,2493
2024-09-10,Tablet,Eletronics,Asia,4,740
2023-03-29,Monitor,Eletronics,Asia,2,1436
2024-09-25,Headphones,Acessorioes,Europe,5,3260
2024-05-20,Headphones,Acessorioes,North America,1,1093
2024-10-28,Headphones,Acessorioes,Asia,5,2575
2024-11-23,Phone,Eletronics,North America,5,1315
2023-05-12,Laptop,Eletronics,North America,3,1095
2023-02-27,Phone,Eletronics,Asia,3,2523
2024-12-09,Monitor,Eletronics,Europe,2,418
2024-03-28,Monitor,Eletronics,Asia,5,3390
2024-05-04,Tablet,Eletronics,North America,5,1780
2024-09-19,Tablet,Eletronics,Europe,3,1917
2024-12-31,Headphones,Acessorioes,North America,3,2586
2023-05-24,Headphones,Acessorioes,North America,4,1272
2024-02-23,Monitor,Eletronics,Asia,4,2000
2024-01-17,Laptop,Eletronics,Asia,5,1570
2023-08-03,Headphones,Acessorioes,South America,2,1244
2023-07-01,Tablet,Eletronics,Europe,5,4585
2023-08-02,Headphones,Acessorioes,South America,4,2764
2024-03-03,Headphones,Acessorioes,Europe,4,4160
2023-06-02,Laptop,Eletronics,South America,5,1320
2023-08-29,Tablet,Eletronics,Asia,2,1676
2024-12-25,Laptop,Eletronics,Europe,5,5045
2023-05-26,Laptop,Eletronics,South America,2,638
2023-11-27,Laptop,Eletronics,South America,1,513
2024-11-05,Tablet,Eletronics,North America,5,5040
2024-08-02,Monitor,Eletronics,South America,3,282
2024-12-01,Laptop,Eletronics,Asia,4,960
2023-05-02,Phone,Eletronics,North America,2,152
2024-11-13,Monitor,Eletronics,Asia,5,945
2023-12-24,Tablet,Eletronics,Europe,4,1168
2023-05-28,Phone,Eletronics,Asia,4,1664
2024-06-03,Monitor,Eletronics,North America,3,2106
2024-05-13,Tablet,Eletronics,North America,1,205
2023-04-22,Tablet,Eletronics,South America,3,1653
2024-01-02,Headphones,Acessorioes,North America,4,2740
2023-01-08,Tablet,Eletronics,North America,5,700
2024-02-14,Phone,Eletronics,Asia,2,1962
2024-12-21,Phone,Eletronics,Asia,5,2415
2023-03-13,Tablet,Eletronics,South America,2,482
2024-02-10,Phone,Eletronics,South America,4,864
2024-03-30,Tablet,Eletronics,Europe,5,1435
2024-06-01,Laptop,Eletronics,Europe,5,490
2023-07-04,Monitor,Eletronics,South America,3,447
2024-06-13,Laptop,Eletronics,Asia,1,301
2023-05-25,Phone,Eletronics,North America,3,1845
2024-11-02,Tablet,Eletronics,Europe,1,977
2023-05-14,Laptop,Eletronics,South America,3,2127
2023-08-14,Monitor,Eletronics,South America,4,496
2023-03-21,Laptop,Eletronics,Asia,1,460
2024-10-03,Phone,Eletronics,Europe,4,1068
2023-11-27,Laptop,Eletronics,South America,2,564
2023-09-20,Laptop,Eletronics,South America,1,1003
2023-08-24,Tablet,Eletronics,Asia,1,347
2023-09-22,Tablet,Eletronics,North America,1,345
2024-06-18,Monitor,Eletronics,South America,5,1645
2024-08-05,Phone,Eletronics,Asia,2,1116
2024-07-03,Monitor,Eletronics,Asia,1,369
2024-04-07,Laptop,Eletronics,South America,1,747
2023-05-18,Phone,Eletronics,South America,4,2644
2023-10-07,Tablet,Eletronics,South America,2,1980
2023-04-16,Phone,Eletronics,South America,2,726
2024-03-14,Monitor,Eletronics,Europe,3,2175
2023-10-26,Monitor,Eletronics,South America,2,870
2024-07-10,Phone,Eletronics,North America,4,1076
2023-10-17,Laptop,Eletronics,Europe,3,699
2024-10-23,Laptop,Eletronics,Europe,1,385
2024-07-07,Laptop,Eletronics,Europe,1,658
2023-03-22,Monitor,Eletronics,North America,3,1743
2024-06-30,Monitor,Eletronics,South America,5,2720
2024-02-25,Headphones,Acessorioes,South America,4,1888
2023-08-25,Laptop,Eletronics,Asia,5,1460
2024-04-15,Monitor,Eletronics,North America,3,2637
2024-10-04,Headphones,Acessorioes,North America,3,918
2024-05-20,Phone,Eletronics,Asia,2,500
2024-10-02,Monitor,Eletronics,North America,5,2945
2024-05-20,Headphones,Acessorioes,South America,4,1108
2024-03-03,Monitor,Eletronics,North America,1,566
2023-03-08,Laptop,Eletronics,North America,3,1281
2024-07-15,Laptop,Eletronics,Europe,2,614
2024-01-24,Monitor,Eletronics,Europe,1,914
2024-10-20,Tablet,Eletronics,North America,4,4004
2023-01-20,Laptop,Eletronics,Asia,5,1635
2023-09-13,Headphones,Acessorioes,Asia,1,89
2024-12-19,Phone,Eletronics,North America,1,129
2024-12-15,Monitor,Eletronics,South America,5,2235
2023-07-26,Headphones,Acessorioes,South America,4,1048
2023-08-30,Headphones,Acessorioes,North America,5,2280
2024-07-02,Phone,Eletronics,North America,4,1548
2024-05-14,Monitor,Eletronics,Europe,4,2392
2023-06-07,Headphones,Acessorioes,North America,5,2500
2024-06-08,Phone,Eletronics,North America,2,1628
2023-04-03,Phone,Eletronics,North America,5,1360
2023-10-09,Laptop,Eletronics,South America,3,1722
2024-08-31,Headphones,Acessorioes,Europe,4,2980
2024-05-04,Laptop,Eletronics,Asia,2,1740
2023-10-28,Monitor,Eletronics,South America,1,52
2023-04-30,Laptop,Eletronics,Asia,1,923
2024-08-11,Tablet,Eletronics,Asia,2,1542
2024-10-08,Tablet,Eletronics,Asia,3,711
2023-11-09,Phone,Eletronics,Asia,4,420
2023-12-29,Headphones,Acessorioes,Europe,4,2988
2024-11-30,Tablet,Eletronics,South America,2,1936
2023-05-08,Tablet,Eletronics,South America,5,5490
2024-09-24,Phone,Eletronics,South America,5,450
2024-03-27,Headphones,Acessorioes,North America,5,3460
2023-05-11,Tablet,Eletronics,North America,5,310
2024-02-07,Tablet,Eletronics,South America,5,1940
2024-12-14,Tablet,Eletronics,North America,1,539
2023-07-16,Headphones,Acessorioes,South America,3,1719
2024-11-06,Tablet,Eletronics,North America,2,964
2024-03-12,Headphones,Acessorioes,Asia,1,788
2023-03-09,Headphones,Acessorioes,Europe,5,5410
2023-12-17,Monitor,Eletronics,North America,5,5235
2023-03-10,Headphones,Acessorioes,Europe,1,415
2023-12-24,Phone,Eletronics,South America,1,516
2023-10-20,Monitor,Eletronics,North America,1,396
2024-08-24,Monitor,Eletronics,Europe,5,3360
2023-06-05,Monitor,Eletronics,North America,5,3000
2024-06-28,Tablet,Eletronics,Europe,2,1208
2023-03-03,Laptop,Eletronics,Asia,3,795
2024-02-29,Laptop,Eletronics,North America,3,2223
2024-11-03,Monitor,Eletronics,Europe,1,697
2023-07-06,Tablet,Eletronics,Europe,3,1056
2024-02-24,Monitor,Eletronics,Asia,3,2508
2023-05-26,Tablet,Eletronics,North America,3,1254
2023-09-17,Monitor,Eletronics,Asia,4,744
2024-12-29,Headphones,Acessorioes,Asia,1,312
2024-02-27,Monitor,Eletronics,South America,5,2590
2023-02-21,Laptop,Eletronics,North America,5,1675
2023-03-14,Monitor,Eletronics,North America,2,696
2024-05-05,Tablet,Eletronics,Asia,2,1052
2024-09-03,Headphones,Acessorioes,North America,2,454
2023-11-25,Laptop,Eletronics,North America,2,1492
2024-07-08,Tablet,Eletronics,North America,1,60
2023-09-20,Headphones,Acessorioes,Asia,1,333
2023-08-07,Tablet,Eletronics,Asia,5,5310
2024-06-26,Laptop,Eletronics,North America,5,2635
2023-12-28,Laptop,Eletronics,Asia,1,105
2023-03-16,Tablet,Eletronics,South America,3,2736
2023-11-05,Laptop,Eletronics,North America,1,110
2023-12-17,Tablet,Eletronics,North America,3,2280
2024-06-25,Tablet,Eletronics,Asia,2,796
2024-08-24,Laptop,Eletronics,Asia,3,1980
2023-02-11,Tablet,Eletronics,Asia,1,183
2023-04-13,Monitor,Eletronics,Asia,3,783
2023-09-14,Phone,Eletronics,Europe,3,1872
2024-10-09,Phone,Eletronics,North America,2,584
2024-11-28,Monitor,Eletronics,Asia,2,2020
2024-06-21,Headphones,Acessorioes,North America,4,260
2023-05-17,Phone,Eletronics,Europe,5,3820
2024-10-06,Headphones,Acessorioes,Europe,4,2296
2024-06-11,Monitor,Eletronics,South America,5,1155
2024-05-24,Laptop,Eletronics,South America,5,3845
2024-01-03,Headphones,Acessorioes,North America,1,130
2024-06-14,Headphones,Acessorioes,North America,1,481
2023-09-08,Phone,Eletronics,North America,5,2180
2024-03-06,Headphones,Acessorioes,Europe,2,1150
2024-02-26,Tablet,Eletronics,Asia,5,835
2023-04-04,Headphones,Acessorioes,North America,2,280
2023-04-05,Laptop,Eletronics,North America,1,902
2023-10-09,Headphones,Acessorioes,Europe,4,4268
2023-02-16,Laptop,Eletronics,Europe,2,314
2023-04-10,Phone,Eletronics,Asia,3,2370
2023-05-26,Laptop,Eletronics,Europe,2,2200
2024-07-17,Monitor,Eletronics,North America,4,2132
2023-11-19,Laptop,Eletronics,Asia,2,1830
2023-10-23,Headphones,Acessorioes,Europe,1,645
2023-12-19,Tablet,Eletronics,South America,5,3195
2023-05-02,Laptop,Eletronics,Europe,1,592
2023-10-30,Phone,Eletronics,South America,3,1365
2024-09-30,Phone,Eletronics,Europe,1,958
2024-10-07,Headphones,Acessorioes,South America,2,1310
2023-04-04,Headphones,Acessorioes,North America,2,112
2024-06-25,Headphones,Acessorioes,Europe,2,854
2023-04-08,Phone,Eletronics,South America,2,664
2023-04-23,Phone,Eletronics,Asia,1,1005
2023-05-25,Laptop,Eletronics,Europe,4,1348
2024-04-07,Phone,Eletronics,Europe,1,777
2023-06-10,Headphones,Acessorioes,Europe,2,820
2024-04-19,Tablet,Eletronics,Asia,2,986
2023-11-14,Tablet,Eletronics,South America,1,1030
2023-08-27,Tablet,Eletronics,South America,5,2300
2023-07-21,Headphones,Acessorioes,South America,2,2128
2024-10-21,Laptop,Eletronics,Europe,2,1388
2024-09-15,Tablet,Eletronics,North America,3,2061
